Time [s],Channel 0
-0.868138833,0
0.020891750,1
0.020894000,0
0.031671417,1
0.031673583,0
0.039953417,1
0.039955667,0
0.047042000,1
0.047044167,0
0.053228583,1
0.053230750,0
0.058817583,1
0.058819833,0
0.064009167,1
0.064011417,0
0.068799667,1
0.068801917,0
0.073289583,1
0.073291750,0
0.077580667,1
0.077582917,0
0.081672000,1
0.081674250,0
0.085563000,1
0.085565250,0
0.089354083,1
0.089356250,0
0.092946167,1
0.092948333,0
0.096339167,1
0.096341333,0
0.099733583,1
0.099735750,0
0.103027250,1
0.103029500,0
0.106122500,1
0.106124667,0
0.109217083,1
0.109219333,0
0.112210583,1
0.112212833,0
0.115103417,1
0.115105667,0
0.117995583,1
0.117997750,0
0.120787417,1
0.120789583,0
0.123480750,1
0.123483000,0
0.126173667,1
0.126175833,0
0.128768500,1
0.128770667,0
0.131362333,1
0.131364583,0
0.133855250,1
0.133857500,0
0.136348083,1
0.136350250,0
0.138741750,1
0.138744000,0
0.141135417,1
0.141137667,0
0.143528917,1
0.143531083,0
0.145822750,1
0.145825000,0
0.148116833,1
0.148119083,0
0.150410583,1
0.150412833,0
0.152604333,1
0.152606583,0
0.154799000,1
0.154801167,0
0.156894083,1
0.156896250,0
0.159088250,1
0.159090417,0
0.161183083,1
0.161185333,0
0.163278333,1
0.163280583,0
0.165273500,1
0.165275667,0
0.167268083,1
0.167270333,0
0.169361750,1
0.169363917,0
0.171256083,1
0.171258333,0
0.173250167,1
0.173252333,0
0.175144583,1
0.175146833,0
0.177138250,1
0.177140417,0
0.179032583,1
0.179034750,0
0.180927750,1
0.180930000,0
0.182722833,1
0.182725083,0
0.184617500,1
0.184619667,0
0.186412667,1
0.186414833,0
0.188208333,1
0.188210583,0
0.190003250,1
0.190005500,0
0.191799250,1
0.191801500,0
0.193494583,1
0.193496750,0
0.195289833,1
0.195292000,0
0.196985417,1
0.196987667,0
0.198681583,1
0.198683750,0
0.200377750,1
0.200379917,0
0.202073083,1
0.202075333,0
0.203769000,1
0.203771167,0
0.205464917,1
0.205467083,0
0.207060917,1
0.207063167,0
0.208756583,1
0.208758750,0
0.210352167,1
0.210354333,0
0.211948667,1
0.211950833,0
0.213545833,1
0.213548083,0
0.215142917,1
0.215145167,0
0.216740083,1
0.216742333,0
0.218237417,1
0.218239583,0
0.219834833,1
0.219837000,0
0.221332333,1
0.221334583,0
0.222929500,1
0.222931750,0
0.224426833,1
0.224429083,0
0.225924083,1
0.225926333,0
0.227421750,1
0.227424000,0
0.228919667,1
0.228921833,0
0.230416750,1
0.230418917,0
0.231914417,1
0.231916583,0
0.233312167,1
0.233314417,0
0.234809500,1
0.234811667,0
0.236306500,1
0.236308750,0
0.237704250,1
0.237706417,0
0.239101917,1
0.239104167,0
0.240600167,1
0.240602333,0
0.241998250,1
0.242000417,0
0.243395583,1
0.243397833,0
0.244794417,1
0.244796583,0
0.246192500,1
0.246194750,0
0.247590250,1
0.247592417,0
0.248887667,1
0.248889917,0
0.250284667,1
0.250286833,0
0.251682917,1
0.251685167,0
0.252980500,1
0.252982750,0
0.254377917,1
0.254380167,0
0.255674667,1
0.255676833,0
0.257071917,1
0.257074167,0
0.258369000,1
0.258371167,0
0.259666167,1
0.259668417,0
0.260963333,1
0.260965500,0
0.262260250,1
0.262262500,0
0.263557250,1
0.263559417,0
0.264853917,1
0.264856083,0
0.266152083,1
0.266154250,0
0.267449583,1
0.267451750,0
0.268747000,1
0.268749167,0
0.270044333,1
0.270046500,0
0.271242083,1
0.271244333,0
0.272540083,1
0.272542333,0
0.273737583,1
0.273739833,0
0.275035917,1
0.275038167,0
0.276233333,1
0.276235500,0
0.277529917,1
0.277532167,0
0.278727333,1
0.278729583,0
0.279924500,1
0.279926667,0
0.281221583,1
0.281223833,0
0.282419000,1
0.282421250,0
0.283616667,1
0.283618917,0
0.284814833,1
0.284817083,0
0.286013000,1
0.286015250,0
0.287211750,1
0.287214000,0
0.288410083,1
0.288412333,0
0.289608417,1
0.289610667,0
0.290806250,1
0.290808417,0
0.291904667,1
0.291906833,0
0.293102750,1
0.293104917,0
0.294301000,1
0.294303250,0
0.295499583,1
0.295501833,0
0.296598083,1
0.296600333,0
0.297795917,1
0.297798167,0
0.298894000,1
0.298896167,0
0.300091833,1
0.300094083,0
0.301189667,1
0.301191833,0
